Comment,Replies
so weird how i still know the lyrics word for word 10 years later,"Even me as of 2023😂
Sae
SAMMEE!
right?? that&#39;s so crazy
yeah the arrangements and lyrics still fresh
same
Right. After a long time not hearing this, the lyrics are magically still there. I&#39;m also thrilled. ❤️
same
frfr
sameeeee"
"It&#39;s 2022, and I still love this song so much",Still here 2023. Never will this song be old
"I was a Senior in High School when I first heard this song. 10 years later, while being super stressed out on work (I&#39;m a teacher btw), I decided to re-listen to the songs I used to listen to when I was a teen.","This is my first time hearing it, and I am currently a high school senior.
😊🎶🎶
First time hearing it , and I&#39;m in senior highschool right now😀
i was like 9 when i first heard this song, had it on my itunes. now i&#39;m revisiting it at 17
Hi ma&#39;am pwede kaba ka eye ball
@Ace jj
I&#39;m from Taiwan, when I was in junior high school, my English teacher used this song as apart of our course.
Hi teacher 😍
All we are the same. We older and life get harder and harder before. I just wanna comeback to my teenage. Good old days 😊
Stress reliever.
Ma&#39;am pwede ba ako mag enroll sa puso mo hihi, di ako si Superman, nor someone who sings Superman who is lookin good, but I can be your own Batman hehe..
Same here
Same here, highschool days are coming back to my mind, damn.
Hello Teacher! How you doing!"
"Its 2023 and i find myself listening to this song again. I just love the lyrics! Specially the part, &quot;Coz im no superman. I hope you like me as I am.&quot; I could listen to this all day💗",
11 years later and this song still gives me so much serotonin &lt;3,
"I used to think that in an alternate world, Joe Brooks is a superstar... Joe&#39;s one of the most underrated singer in history...","hundred percent true.
Agreed"
This song is so underrated and Joe is so underrated and dammit it&#39;s 7 years old but I will never get enough of this song!!! ♡,"💗💗
it&#39;s 9 years now and people still sleep on him
yeah,,, same here
cuz he aint swag ,,,,
AlffBooks Chill...zGF
AVee. .👈😎🌎⭐👉⌛⏳⌚🎭
2018 and am still playing this shit!
SuperSong
AVee I love this song! 😊"
THIS IS GOLD RIGHT HERE 💖 Still one of my faves after 11 years 🥰,
12 years! Still a fantstic song that makes me reach for my acoustic guitar every time,
Really underrated song. Been 10yrs and I can still remember all the lyrics by heart.,
I was 12 when I heard this on radio. Until now I&#39;m still into it. This song always puts me in good mood.,this song makes me fucking angry
This song never gets old...,
Every couple of years I come back to this song and it always feels like Im hearing it for the first time. So many memories!!,
11 years later and this one is my go to song,
"I&#39;m obsessed with this song since 2019, and will never get tired of listening.",
9 years later and I’m still obsessed with this song. 🔥🔥🔥🔥,
It’s been about 10 years and your songs are still a part of me. Always popping up in my mind. ❤️,
Tinha esquecido do quanto eu gostava dessa música.,
His voice is so amazing and the emotion in this song takes my breath and makes my heart skip a beat,
Still good to the ears! 💗 This is literally one of my fave songs! ❤️❤️,
Minha música há 10 anos ❤,
2019 and i still love this song ❤️,
"No matter how many times I watch this video, it never fails to make me fall in love with it. I love every single thing about it :&#39;D",smoked what??
"My type of music, my type of man. This was the first Joe Brooks song I ever listened to and I love it even after all these years.","+ElliaPhant same here, it was the first dong i heard by him, i feel so old cause i can remember setting this as the auto play song on my myspace!!"
Its been 7 years how time flies by but this song never loses power in its simple meaning,
Master piece! 12 years later here i am &lt;3,
Here I am singing along in almost 2022 💖 still beautiful as ever,
"I think the last time I listened to this song was waaaaaay back in highschool! I just happened to pass by the song on IG today and went to YT to find the full version, and I can’t believe I still remember all the lyrics AFTER 11 YEARS!!! Ang butterflies still fly in my stomach listening to this. So nostalgic 😭❤️",
I heard this song a thousand times but I still fall in love everytime I listen to it.  Love this song so much.,
This song is like a smile from head to toe!,
I might be 10 years late but I&#39;m thankful I found this gem. 💖,
My all-time favorite song 😍💕,
"Nossa, que nostalgia boa &lt;3",
This song never gets old no matter what,
É normal se apaixonar por essa música? 😍porque eu acabei me apaixonando 💘❤💛,
9 years later and I still love this song🤩,
I first heard this during my highschool days and now I almost finish med school but still cling to this Song it really soothes my mind and heart ♥️♥️,
10 years later and this is still one of my favorite songs to listen to,
Years after and I’m still in love with this song. Good times ❤️ makes me feel high school again.,
Funny how I haven’t heard this song in so long but I still know the lyrics to it. Brings back so much memories!,
For some reason I came across this song when I was younger and finally found it again! I remember liking it a lot when I first found it.,
I remember this song from when I was a kid!!! Love it!!!,
How can this masterpiece not available on spotify?,It is on Spotify
I suddenly miss Joe&#39;s old songs after listening to his latest releases. His music is always pure and lovely since the beginning ❤️,
This never gets old💜,
Still a legendary song.,
"So many years and I still remember the lyrics, unbelievable ;) I remember when I found Joe on myspace (yeah, I know, good old times,huh?) and was listening to this song in acoustic version... Such a long time!",
"10yrs later, I can still sing this song.",
I remember singing this in elementary for singing competition try outs. I didn&#39;t get picked but I didn&#39;t regret picking this song,
2023 is coming and yet this is still one of my favorite song!!😩💛,
2019 and I still love it.,
"2022, esta canción me recuerda mi adolescencia",
"&quot;If I could read your mind, would I find any trace of me at all?&quot; The feels... I can relate to this so much ",
it&#39;s been five years and still awesome!,
this song has a special place in my heart 💙,
Back 2016 this is my favorite now it&#39;s still hit my heart,
Every year for 8 years I’ve been coming back to this song and I still love it,Ha gay
"This song makes me remember my nostalgic childhood, and now I thing i see my love of life so i wanna share this beautiful song to her. Hope y&#39;all doing great! Love this song so much",
This is my childhood song 💖,
This was one of my favourite songs during my freshman year &lt;3,
Omg this is 10 years old!!!! I still remember listening to this when i was a kid ❤️❤️,
mano que nostalgia,
"My sister showed me this song years ago, and I was singing it in my head, and knew right away it was you, beautiful song still and always❤️",
Still one of my faves 💕,
2019 still got the same feelings from this song ♥,
He&#39;s so talented! 💞,
2018 and still loveeeeee this song!,
I miss this the nostalgia is real a true treasure song.,
Its been seven years but im still listening this song everyday 🙃 joe is so underrated,
"tempo  bom , que não volta mais",
"damn, its been years since i last listened to this. glad to know it got a bit more of recognition",Same 😍
this song never gets old ;&lt;,
It&#39;s 2018 and I&#39;m still in love with this song,
Imposible que hayan pasado más de 4 años desde que conocí está canción,
This song is everything I wanna tell my love How I feel ... everyday everytime ❤️❤️,
"I remember when you first posted this on MySpace and I remember listening to you in 2005/06. I’ve been a fan of yours since the very beginning 💜<br>Much love from TX, USA!",
"This song captured my ears, still listening in 2016. ☝💜",
my childhood song 💖 and still 💖🎉,
Its already 1 decade but still love this song 😍,
Nostalgia just hit so hard,
중학생때부터 거의 10년동안 재생목록에 없었던적이 없는 노래,
This is so good 🌌,
Its been 10years but the song still nostalgic...<br>Raised like 90&#39;s kid,
i listen this for a how many times and i still love it :),
Wonderful upload as usual.  Getting ready to get into the studio myself. Big hello to you from Montana!   💟🖤,
Bring back some good memories 👌,
2018 and I still like this song. ❤️,
Its almost 2021 but i still love this song🥰🥰,
&quot;Superman&quot;<br><br>There are no words<br>To paint a picture of you girl<br>Your eyes and those curves<br>It&#39;s like you&#39;re from some other world<br>You walk in my way<br>Oh God it&#39;s so frustrating<br><br>So why do I disappear<br>When you come near?<br>It makes me feel so small<br>Why do I blow my lines<br>Most every time<br>Like I&#39;ve got no chance at all?<br><br>If I could be your superman<br>I&#39;d fly you to the stars<br>And back again<br>&#39;Cause every time you touch my hand<br>You feel my powers<br>Running through your veins<br><br>But I can only write this song<br>And tell you that I&#39;m not that strong<br>&#39;Cause I&#39;m no superman<br>I hope you like me as I am<br><br>No it ain&#39;t no lie<br>I have to tell you how I feel<br>But each time that I try<br>It gets a little more unreal<br>You say my name<br>Oh God I can&#39;t stop shaking<br><br>So why do I disappear<br>When you come near?<br>It makes me feel so small<br>If I could read your mind<br>Girl would I find<br>Any trace of me at all?<br><br>If I could be your superman<br>I&#39;d fly you to the stars<br>And back again<br>&#39;Cause every time you touch my hand<br>You feel my powers<br>Running through your veins<br><br>But I can only write this song<br>And tell you that I&#39;m not that strong<br>&#39;Cause I&#39;m no superman<br>I hope you like me as I am<br><br>I&#39;m no superman<br>I&#39;m no superman<br><br>If I could be your superman<br>I&#39;d fly you to the stars<br>And back again<br>&#39;Cause every time you touch my hand<br>You feel my powers<br>Running through your veins<br><br>But I can only write this song<br>And tell you that I&#39;m not that strong<br>&#39;Cause I&#39;m no superman<br>I hope you like me as I am,Thanks ❤
How did I just now find this?! OMG! So underrated! This (and Joe) deserve more appreciation! This almost stole my heart away. I&#39;ll be fine...I&#39;ll be fine.,
Just found out this song and I definitely fell in love with it.,
10 years and I just heard this song only now. I’m glad people decided to relisten to it and it got to my recommended videos. 👍💕,
This song has had my heart for yearssss,
1st time i heard this tonight...<br>Loved it,
"There are no words,<br>To paint a picture of you, girl.<br>Your eyes and those curves,<br>It&#39;s like you&#39;re from some other world.<br>You walk my way,<br>Oh, God, it&#39;s so frustrating.<br>So why do I disappear<br>When you come near?<br>It makes me feel so small.<br>Why do I blow my lines<br>Most every time<br>Like I&#39;ve got no chance at all?<br><br>If I could be your superman,<br>I&#39;d fly you to the stars,<br>And back again.<br>&#39;Cause every time you touch my hand,<br>And you feel my powers, running through your veins.<br>But I can only write this song,<br>And tell you, That I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I am.<br><br>No it ain&#39;t no lie,<br>I have to tell you how I feel.<br>But each time that I try,<br>It gets a little more unreal.<br>You say my name,<br>Oh, God, I can&#39;t stop shaking.<br>So why do I disappear<br>When you come near?<br>It makes me feel so small.<br>If I could read your mind,<br>Girl, would I find<br>Any trace of me at all?<br><br>If I could be your superman,<br>I&#39;d fly you to the stars,<br>And back again.<br>&#39;Cause every time you touch my hand,<br>You feel my powers, running through your veins.<br>Well I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman,<br>I hope you like me as I-I am, La la<br><br>If I could be your superman,<br>I&#39;d fly you to the stars,<br>And back again.<br>&#39;Cause every time you touch my hand,<br>You feel my powers, running through your veins.<br>Well I can only write this song,<br>And tell you that I&#39;m not that strong.<br>&#39;Cause I&#39;m no superman-an-an,<br>I hope you like me as I am.",♡
I really wished that I found out this song earlier. It’s really sweet and cute. ❤️,
Knew this song the first time it came out and boy oh boy it&#39;s still the song that I would sing to my girl &lt;3,
"Feels nostalgic, i haven&#39;t forget this song after so many year",
"i was having a bad day, then youtube recommends this to me.<br>it brings back so many happy memories, now i cant stop smiling<br>i hope this song does this to you too :)",
